country,categoria_expectativa_vida,gdp_per_capita_current_us$,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,services_value_added_of_gdp,infant_mortality_rate_per_1_000_live_births,tiene_dato_gini,ratio_servicios_agri,government_integrity^2,government_integrity energy_use_kg_of_oil_equivalent_per_capita,government_integrity life_expectancy_at_birth_total_years,government_integrity agriculture_value_added_of_gdp,government_integrity services_value_added_of_gdp,government_integrity infant_mortality_rate_per_1_000_live_births,energy_use_kg_of_oil_equivalent_per_capita^2,energy_use_kg_of_oil_equivalent_per_capita life_expectancy_at_birth_total_years,energy_use_kg_of_oil_equivalent_per_capita agriculture_value_added_of_gdp,energy_use_kg_of_oil_equivalent_per_capita services_value_added_of_gdp,energy_use_kg_of_oil_equivalent_per_capita infant_mortality_rate_per_1_000_live_births,life_expectancy_at_birth_total_years^2,life_expectancy_at_birth_total_years agriculture_value_added_of_gdp,life_expectancy_at_birth_total_years services_value_added_of_gdp,life_expectancy_at_birth_total_years infant_mortality_rate_per_1_000_live_births,agriculture_value_added_of_gdp^2,agriculture_value_added_of_gdp services_value_added_of_gdp,agriculture_value_added_of_gdp infant_mortality_rate_per_1_000_live_births,services_value_added_of_gdp^2,services_value_added_of_gdp infant_mortality_rate_per_1_000_live_births,infant_mortality_rate_per_1_000_live_births^2,ratio_auto_government_integrity_div_energy_use_kg_of_oil_equivalent_per_capita,ratio_auto_energy_use_kg_of_oil_equivalent_per_capita_div_government_integrity,ratio_auto_government_integrity_div_life_expectancy_at_birth_total_years,ratio_auto_life_expectancy_at_birth_total_years_div_government_integrity,ratio_auto_government_integrity_div_agriculture_value_added_of_gdp,ratio_auto_agriculture_value_added_of_gdp_div_government_integrity,ratio_auto_government_integrity_div_services_value_added_of_gdp,ratio_auto_services_value_added_of_gdp_div_government_integrity,ratio_auto_government_integrity_div_infant_mortality_rate_per_1_000_live_births,ratio_auto_infant_mortality_rate_per_1_000_live_births_div_government_integrity,ratio_auto_energy_use_kg_of_oil_equivalent_per_capita_div_life_expectancy_at_birth_total_years,ratio_auto_life_expectancy_at_birth_total_years_div_energy_use_kg_of_oil_equivalent_per_capita,ratio_auto_energy_use_kg_of_oil_equivalent_per_capita_div_agriculture_value_added_of_gdp,ratio_auto_agriculture_value_added_of_gdp_div_energy_use_kg_of_oil_equivalent_per_capita,ratio_auto_energy_use_kg_of_oil_equivalent_per_capita_div_services_value_added_of_gdp,ratio_auto_services_value_added_of_gdp_div_energy_use_kg_of_oil_equivalent_per_capita,ratio_auto_energy_use_kg_of_oil_equivalent_per_capita_div_infant_mortality_rate_per_1_000_live_births,ratio_auto_infant_mortality_rate_per_1_000_live_births_div_energy_use_kg_of_oil_equivalent_per_capita,ratio_auto_life_expectancy_at_birth_total_years_div_agriculture_value_added_of_gdp,ratio_auto_agriculture_value_added_of_gdp_div_life_expectancy_at_birth_total_years,ratio_auto_life_expectancy_at_birth_total_years_div_services_value_added_of_gdp,ratio_auto_services_value_added_of_gdp_div_life_expectancy_at_birth_total_years,ratio_auto_life_expectancy_at_birth_total_years_div_infant_mortality_rate_per_1_000_live_births,ratio_auto_infant_mortality_rate_per_1_000_live_births_div_life_expectancy_at_birth_total_years,ratio_auto_agriculture_value_added_of_gdp_div_services_value_added_of_gdp,ratio_auto_services_value_added_of_gdp_div_agriculture_value_added_of_gdp,ratio_auto_agriculture_value_added_of_gdp_div_infant_mortality_rate_per_1_000_live_births,ratio_auto_infant_mortality_rate_per_1_000_live_births_div_agriculture_value_added_of_gdp,ratio_auto_services_value_added_of_gdp_div_infant_mortality_rate_per_1_000_live_births,ratio_auto_infant_mortality_rate_per_1_000_live_births_div_services_value_added_of_gdp,bin_auto_government_integrity,bin_auto_energy_use_kg_of_oil_equivalent_per_capita,bin_auto_life_expectancy_at_birth_total_years,bin_auto_agriculture_value_added_of_gdp,bin_auto_services_value_added_of_gdp,bin_auto_infant_mortality_rate_per_1_000_live_births
Albania,Mortalidad_Baja,6846.42669381643,35.6,780.738623945557,78.769,16.9844780351393,46.2094258130071,8.3,0.0,2.7206856588353268,1267.3600000000001,27794.295012461833,2804.1764000000003,604.6474180509591,1645.0555589430528,295.48,609552.798920402,61498.000669567584,13260.438009588195,36077.483522561466,6480.130578748124,6204.555361000001,1337.8503503498875,3639.8702618647567,653.7827000000001,288.47249412612933,784.8429777374181,140.9711676916562,2135.311033967807,383.538234247959,68.89000000000001,0.04559784658800547,21.930860223189804,0.4519544490853,2.212612359550562,2.0960314427294686,0.4770920796387444,0.770405590929876,1.2980175790170534,4.289156626506024,0.23314606741573035,9.911749850138468,0.10089035892951131,45.967772593910844,0.021754371455719953,16.895657329847054,0.059186806436553864,94.06489445127193,0.010630958614619252,4.637705076189818,0.2156238880160888,1.7046089323582978,0.5866448198276872,9.490240963855422,0.10537140245528064,0.3675544055420503,2.7206856588353268,2.04632265483606,0.48868148805209527,5.567400700362301,0.17961703384039246,2.0,1.0,3.0,2.0,1.0,1.0
Albania,Mortalidad_Baja,6413.28280828537,40.6,810.006337207976,76.844,17.7932055973056,45.2438461275936,8.2,0.0,2.5427597000534186,1648.3600000000001,32886.25729064383,3119.8664,722.4041472506074,1836.9001527803002,332.91999999999996,656110.2663170813,62244.1269764097,14412.609293061967,36647.80208301336,6642.051965105403,5905.000335999999,1367.3010909193515,3476.718111828802,630.1207999999999,316.59816542798734,805.0330561611318,145.9042858979059,2047.0056124173664,370.9995382462675,67.24,0.05012306464162342,19.95089500512256,0.5283431367445734,1.892709359605911,2.2817698462467044,0.43825629550013795,0.8973596074370569,1.1143804464924532,4.951219512195123,0.20197044334975367,10.540918447868098,0.09486839357933276,45.523350628322646,0.02196674862895183,17.90312730981472,0.055856163154902404,98.78126063511904,0.010123377587717045,4.318727144457678,0.23154970586259957,1.6984409279284038,0.588775260626641,9.371219512195122,0.10670969756910104,0.3932734972868226,2.5427597000534186,2.1699031216226343,0.4608500674685462,5.517542210682147,0.1812401177582233,2.0,1.0,2.0,3.0,0.0,1.0
Albania,Mortalidad_Baja,5370.77749956875,38.8,761.957268109783,77.824,18.8061417987988,45.7213593039167,8.1,1.0,2.4311929471273603,1505.4399999999998,29563.942002659576,3019.5712,729.6783017933934,1773.988740991968,314.28,580578.8784253236,59298.562433375744,14329.476428697933,34837.72202947817,6171.853871689242,6056.574976,1463.5691793497178,3558.2190664680134,630.3743999999999,353.67096935652745,859.8423663032863,152.32974857027028,2090.44269659785,370.34301036172525,65.61,0.05092149077631698,19.638073920355232,0.49856085526315785,2.0057731958762886,2.0631557719339466,0.4846943762577011,0.8486186891796152,1.1783855490700181,4.790123456790123,0.20876288659793815,9.79077492945342,0.10213696129319827,40.5164055584464,0.02468136020993924,16.665236548304247,0.06000514886791415,94.06879853207197,0.010630517404334216,4.138222546262563,0.2416496427682823,1.7021366202761439,0.5874969071740941,9.607901234567901,0.10408100328947369,0.4113207062325416,2.4311929471273603,2.3217459010862718,0.430710354450128,5.644612259742803,0.17716008717409495,2.0,1.0,3.0,3.0,1.0,1.0
Albania,Mortalidad_Baja,5460.4305086932,40.4,817.176548362341,79.467,18.1603973706713,45.4534114346696,8.0,1.0,2.502886391025562,1632.1599999999999,33013.932553838575,3210.4667999999997,733.6800537751205,1836.3178219606516,323.2,667777.5111933894,64938.56876871015,14840.250840253708,37143.46186747666,6537.412386898728,6315.004089,1443.1522978551363,3612.046246478889,635.736,329.80003266068513,825.4520135062146,145.2831789653704,2066.012611049353,363.6272914773568,64.0,0.04943852106495645,20.22714228619656,0.508387129248619,1.9670049504950495,2.2246209251591176,0.449514786402755,0.8888221747242693,1.1250844414522179,5.05,0.19801980198019803,10.283218799782816,0.09724581567992313,44.9977239860437,0.022223346236582002,17.978332595274455,0.055622510858590234,102.14706854529263,0.009789806151476526,4.375840372762862,0.22852753181410274,1.7483176177924136,0.5719784493521789,9.933375,0.10067071866309286,0.39953871002121205,2.502886391025562,2.2700496713339127,0.44051899508101344,5.6816764293337,0.17600439103450877,2.0,1.0,3.0,3.0,0.0,1.0
Albania,Mortalidad_Baja,5365.48880180298,39.9,823.101982045081,79.238,17.9155558179549,44.3970282534603,7.8,1.0,2.4781273159812196,1592.01,32841.76908359873,3161.5962,714.8306771364005,1771.4414273130658,311.21999999999997,677496.8728465408,65220.95485328812,14746.32950319796,36543.28195233463,6420.195459951631,6278.660644,1419.5928119031103,3517.931724747687,618.0563999999999,320.9671402662577,795.3974378261887,139.7413353800482,1971.096117738552,346.2968203769903,60.839999999999996,0.048475159664740905,20.629122357019572,0.5035462783008152,1.9859147869674185,2.227114827216936,0.44901142400889477,0.8987088003326033,1.1127074750240677,5.115384615384615,0.19548872180451127,10.387717787489349,0.09626753637881554,45.943424273790676,0.02176590047012385,18.539573805391548,0.053938672511942384,105.52589513398473,0.009476347002129801,4.4228602676445,0.22609803147422827,1.7847590957582662,0.5602997078858666,10.15871794871795,0.09843761831444509,0.4035305182066677,2.4781273159812196,2.2968661305070386,0.4353758308845138,5.691926699161577,0.17568743465148637,2.0,1.0,3.0,3.0,0.0,1.0
Albania,Mortalidad_Baja,4614.0479692596,39.7,824.373550389848,78.9,18.079078214296,44.5621307131911,7.7,1.0,2.4648452860806627,1576.0900000000001,32727.629950476967,3132.3300000000004,717.7394051075513,1769.116589313687,305.69000000000005,679591.7505823632,65043.07312575901,14903.913895294947,36735.84190896984,6347.67633800183,6225.210000000001,1426.4392711079545,3515.952113270778,607.5300000000001,326.85306907863225,805.642246559464,139.2089022500792,1985.7834936995298,343.1284064915715,59.290000000000006,0.048157779905997455,20.76507683601632,0.5031685678073511,1.987405541561713,2.1959084157624416,0.4553923983449874,0.8908909732237774,1.1224718063776096,5.155844155844156,0.19395465994962216,10.448333971987934,0.09570903865448864,45.598206978161976,0.021930686890362223,18.499419511505096,0.05405575020222031,107.0615000506296,0.009340425825596483,4.364160554248278,0.22913914086560203,1.7705616571122427,0.5647925312191521,10.246753246753247,0.09759188846641317,0.4057049769602759,2.4648452860806627,2.3479322356228574,0.4259066700597179,5.787289703011831,0.1727924557638057,2.0,1.0,3.0,3.0,0.0,1.0
Albania,Mortalidad_Baja,4168.37544462548,33.0,786.071045181397,78.643,19.167190753497,43.4481768975831,7.6,1.0,2.2667994207578963,1089.0,25940.344490986103,2595.219,632.517294865401,1433.7898376202425,250.79999999999998,617907.688072574,61818.98520620061,15066.773668792595,34153.35382510938,5974.139943378617,6184.721449,1507.3653824272646,3416.894975756628,597.6868,367.38120138094087,832.7794944876568,145.67064972657718,1887.744075723674,330.20614442163156,57.76,0.041980938239984125,23.820334702466578,0.41961776636191395,2.383121212121212,1.721692053071431,0.5808239622271818,0.7595255395361754,1.316611421138882,4.342105263157895,0.2303030303030303,9.995435641842212,0.10004566442445671,41.01128095873834,0.024383534886562194,18.09215256682321,0.05527258275688913,103.43040068176278,0.009668337291632707,4.103000852415048,0.2437240536792467,1.810041424416468,0.5524735437048829,10.347763157894738,0.09663924316213776,0.44115063328613946,2.2667994207578963,2.5219987833548685,0.39651089707099624,5.716865381260935,0.17492103334772524,1.0,1.0,3.0,3.0,0.0,1.0
Albania,Mortalidad_Baja,3981.72662261867,31.0,762.287986301806,78.358,18.7471602773412,42.8778647519282,7.6,1.0,2.2871658489927476,961.0,23630.927575355985,2429.098,581.1619685975772,1329.2138073097742,235.6,581082.9740600623,59731.36203063691,14290.73505669163,32685.281178668534,5793.3886958937255,6139.976164000001,1468.989985011902,3359.82372623159,595.5208,351.4560184643198,803.8382028545568,142.47841810779312,1838.5112856846467,325.87177211465433,57.76,0.04066704520740858,24.58993504199374,0.3956201026059879,2.527677419354839,1.6535837716962511,0.6047471057206839,0.7229837628191582,1.383156927481555,4.078947368421053,0.24516129032258063,9.72827262438814,0.1027931718826491,40.66151753250582,0.024593277887392552,17.77812376413931,0.05624890529883275,100.301050829185,0.009969985276655007,4.179726360728221,0.23925011201589116,1.8274697318381805,0.5472046855704357,10.310263157894738,0.09699073483243574,0.4372223380479353,2.2871658489927476,2.466731615439632,0.4053947311255325,5.641824309464237,0.1772476321750194,1.0,1.0,3.0,3.0,0.0,1.0
Albania,Mortalidad_Baja,4602.23051443229,30.4,810.872883939509,78.029,19.2377589164282,42.6575638095964,7.8,1.0,2.217387378379543,924.16,24650.535671761074,2372.0816,584.8278710594172,1296.7899398117304,237.11999999999998,657514.8339083765,63271.60026091595,15599.377053097138,34589.86178812106,6324.80849472817,6088.5248409999995,1501.1030904899758,3328.527046498997,608.6261999999999,370.0913681266127,820.6359285311679,150.05451954813995,1819.6677501697882,332.7289977148519,60.839999999999996,0.03749046318123993,26.673450129589114,0.38959873893039765,2.5667434210526316,1.5802256454123529,0.6328210169877697,0.7126520430395771,1.4032093358419868,3.8974358974358974,0.2565789473684211,10.391942533410772,0.09622839972266349,42.150069946404166,0.023724753037694786,19.008888729765957,0.05260696794095614,103.95806204352681,0.009619263579397085,4.056033779140805,0.24654627018708686,1.8291949429715515,0.5466885876993989,10.003717948717949,0.09996283433082571,0.45098119063471703,2.217387378379543,2.4663793482600256,0.40545263270448534,5.468918437127743,0.1828515110430494,1.0,1.0,3.0,3.0,0.0,1.0
Albania,Mortalidad_Baja,4420.23461988353,31.0,803.709464277971,77.995,18.924817420614,42.6287844572944,8.0,0.0,2.252533459628555,961.0,24914.993392617103,2417.8450000000003,586.6693400390341,1321.4923181761264,248.0,645948.9029699832,62685.31966636036,15210.054870680093,34261.15751899318,6429.675714223768,6083.2200250000005,1476.0411347207892,3324.832043746677,623.96,358.1487144035752,806.7419627170044,151.398539364912,1817.2132643064647,341.0302756583552,64.0,0.03857115211135343,25.92611175090229,0.39746137572921336,2.515967741935484,1.6380607173643331,0.6104779813101291,0.7272081621528725,1.3751220792675614,3.875,0.25806451612903225,10.30462804382295,0.09704377448145197,42.468545213150875,0.023546839077744967,18.853680078143647,0.05304004289110972,100.46368303474638,0.009953845706155725,4.1213079242203605,0.24264141830391692,1.829632277648816,0.5465579134213013,9.749375,0.10257067760753893,0.44394457082333466,2.252533459628555,2.36560217757675,0.4227253464166021,5.3285980571618,0.1876666224910639,1.0,1.0,3.0,3.0,0.0,1.0
