country,categoria_expectativa_vida,gdp_per_capita_current_us$,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,services_value_added_of_gdp,infant_mortality_rate_per_1_000_live_births,tiene_dato_gini,ratio_servicios_agri
Albania,Mortalidad_Baja,6846.42669381643,35.6,780.738623945557,78.769,16.9844780351393,46.2094258130071,8.3,0.0,2.7206856588353268
Albania,Mortalidad_Baja,6413.28280828537,40.6,810.006337207976,76.844,17.7932055973056,45.2438461275936,8.2,0.0,2.5427597000534186
Albania,Mortalidad_Baja,5370.77749956875,38.8,761.957268109783,77.824,18.8061417987988,45.7213593039167,8.1,1.0,2.4311929471273603
Albania,Mortalidad_Baja,5460.4305086932,40.4,817.176548362341,79.467,18.1603973706713,45.4534114346696,8.0,1.0,2.502886391025562
Albania,Mortalidad_Baja,5365.48880180298,39.9,823.101982045081,79.238,17.9155558179549,44.3970282534603,7.8,1.0,2.4781273159812196
Albania,Mortalidad_Baja,4614.0479692596,39.7,824.373550389848,78.9,18.079078214296,44.5621307131911,7.7,1.0,2.4648452860806627
Albania,Mortalidad_Baja,4168.37544462548,33.0,786.071045181397,78.643,19.167190753497,43.4481768975831,7.6,1.0,2.2667994207578963
Albania,Mortalidad_Baja,3981.72662261867,31.0,762.287986301806,78.358,18.7471602773412,42.8778647519282,7.6,1.0,2.2871658489927476
Albania,Mortalidad_Baja,4602.23051443229,30.4,810.872883939509,78.029,19.2377589164282,42.6575638095964,7.8,1.0,2.217387378379543
Albania,Mortalidad_Baja,4420.23461988353,31.0,803.709464277971,77.995,18.924817420614,42.6287844572944,8.0,0.0,2.252533459628555
Albania,Mortalidad_Baja,4222.3470988913,33.0,689.872750149797,78.084,17.5913685516371,43.5059236088597,8.5,1.0,2.473140363193114
Albania,Mortalidad_Baja,4465.70914328865,32.0,766.894617514824,78.303,16.7202229491786,42.2390195525462,9.0,0.0,2.5262234648983104
Albania,Mortalidad_Baja,4149.14469936847,34.0,731.053397459356,78.414,16.3586081914252,41.3131845921318,9.7,0.0,2.525470633485017
Albania,Mortalidad_Baja,4213.65007574693,29.0,734.057809949862,78.509,15.2792217271528,42.0040238601938,10.4,0.0,2.749094463728358
Albania,Mortalidad_Baja,4498.50486763601,26.0,712.287869024953,78.248,15.422100399492,41.0750286540131,11.1,1.0,2.663387449829214
Albania,Mortalidad_Baja,3743.05529896187,24.0,680.948166186712,77.691,15.5325494481234,40.5451705003217,11.9,0.0,2.610335839311959
Albania,Mortalidad_Baja,3057.77257038113,25.0,707.890606549635,76.994,16.0415750334868,40.1991972841068,12.7,0.0,2.5059383009580385
Albania,Mortalidad_Baja,2741.72136549578,25.0,721.077407396492,76.427,17.1247178955729,40.3981318981217,13.5,1.0,2.359053862637087
Albania,Mortalidad_Baja,2446.90949947798,25.0,716.623145884767,75.951,18.5630799913995,39.5598988272926,14.4,0.0,2.1311064136781814
Albania,Mortalidad_Baja,1908.69900687608,10.0,649.35788110735,75.557,19.8076203314692,39.0975551528255,15.3,0.0,1.9738643258781354
Albania,Mortalidad_Baja,1479.83884572006,10.0,661.11795163205,75.299,19.7639164696809,40.8693014913812,16.1,1.0,2.0678746317349246
