country,categoria_expectativa_vida,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,agriculture_value_added_of_gdp,bin_auto_energy_use_kg_of_oil_equivalent_per_capita,gdp_per_capita_current_us$
Albania,Mortalidad_Baja,0.35600000000000004,0.0357815277821338,0.9171471492953716,0.214620052385816,0.3333333333333333,6846.42669381643
Albania,Mortalidad_Baja,0.406,0.03713980028233272,0.8896058373274196,0.2248549873388758,0.3333333333333333,6413.28280828537
Albania,Mortalidad_Baja,0.38799999999999996,0.034909912055976655,0.9036268688747406,0.23767430575818613,0.3333333333333333,5370.77749956875
Albania,Mortalidad_Baja,0.40399999999999997,0.0374725594748351,0.9271335574790756,0.22950202064342864,0.3333333333333333,5460.4305086932
Albania,Mortalidad_Baja,0.399,0.03774755033424578,0.9238572143930179,0.2264034031570331,0.3333333333333333,5365.48880180298
Albania,Mortalidad_Baja,0.397,0.03780656199324813,0.9190213892266972,0.2284728776849403,0.3333333333333333,4614.0479692596
Albania,Mortalidad_Baja,0.33,0.03602899778633869,0.9153444452392874,0.2422435979884495,0.3333333333333333,4168.37544462548
Albania,Mortalidad_Baja,0.31,0.034925260211861354,0.9112669003505258,0.23692785903893002,0.3333333333333333,3981.72662261867
Albania,Mortalidad_Baja,0.304,0.03718001547048307,0.9065598397596393,0.24313668064217167,0.3333333333333333,4602.23051443229
Albania,Mortalidad_Baja,0.31,0.03684757146140003,0.9060733958079976,0.23917621731235514,0.3333333333333333,4420.23461988353
Albania,Mortalidad_Baja,0.33,0.03156457319887963,0.9073467343872952,0.22230061782041727,0.3333333333333333,4222.3470988913
Albania,Mortalidad_Baja,0.32,0.03513904734442954,0.9104800057228699,0.21127574493006632,0.3333333333333333,4465.70914328865
Albania,Mortalidad_Baja,0.34,0.03347570784337497,0.9120681021532298,0.20669929212096638,0.3333333333333333,4149.14469936847
Albania,Mortalidad_Baja,0.29,0.03361513830821926,0.913427283782817,0.193039005557406,0.3333333333333333,4213.65007574693
Albania,Mortalidad_Baja,0.26,0.03260482664416358,0.9096931110952142,0.1948472213101301,0.3333333333333333,4498.50486763601
Albania,Mortalidad_Baja,0.24,0.0311503960862338,0.9017240145933185,0.19624502062012475,0.3333333333333333,3743.05529896187
Albania,Mortalidad_Baja,0.25,0.03240075601374469,0.8917519135846625,0.2026870463397407,0.3333333333333333,3057.77257038113
Albania,Mortalidad_Baja,0.25,0.03301273648503367,0.8836397453322842,0.21639487238270008,0.3333333333333333,2741.72136549578
Albania,Mortalidad_Baja,0.25,0.03280602061127119,0.8768295300092994,0.23459821202194542,0.3333333333333333,2446.90949947798
Albania,Mortalidad_Baja,0.1,0.029684336366705324,0.8711925030402747,0.2503486204696953,0.3333333333333333,1908.69900687608
Albania,Mortalidad_Baja,0.1,0.030230104334666476,0.8675012518778167,0.24979552174581535,0.3333333333333333,1479.83884572006
Albania,Mortalidad_Media,0.23,0.027311486800672177,0.8644109020673867,0.25850876448912097,0.3333333333333333,1326.41652388077
Albania,Mortalidad_Media,0.1,0.026529336930734206,0.8607339580799769,0.280360036603231,0.3333333333333333,1160.42047054038
Albania,Mortalidad_Media,0.1,0.01890254736894775,0.8492309893411547,0.4152489687659377,0.0,911.320465445326
Algeria,Mortalidad_Baja,0.30100000000000005,0.06917747692603904,0.8793762071678948,0.1339874073978358,0.6666666666666666,4961.55257664733
Algeria,Mortalidad_Baja,0.327,0.06690805477367194,0.8661992989484226,0.14186244060424108,0.6666666666666666,4160.55926736925
Algeria,Mortalidad_Media,0.28300000000000003,0.06322113710924301,0.8382860004292152,0.1620953938747923,0.6666666666666666,3743.5419522929
Algeria,Mortalidad_Baja,0.289,0.06746795924190445,0.8729808999213104,0.14494718467049833,0.6666666666666666,4468.45341883656
Algeria,Mortalidad_Baja,0.29,0.06648373826281992,0.8711638886901782,0.14196869166818674,0.6666666666666666,4577.21029180491
Algeria,Mortalidad_Baja,0.317,0.06360848213280006,0.8693897989841906,0.13928634667559994,0.6666666666666666,4554.66753957828
Algeria,Mortalidad_Baja,0.36,0.06318408785016713,0.8676586308033478,0.13974741717426914,0.6666666666666666,4424.98529027556
Algeria,Mortalidad_Media,0.36,0.06519334394581311,0.8654982473710566,0.13297004616308883,0.6666666666666666,4685.05902729002
Algeria,Mortalidad_Media,0.287,0.06257362038799201,0.8631089491379926,0.11872344040026715,0.6666666666666666,6094.69392314956
Algeria,Mortalidad_Media,0.29,0.05866019741526853,0.860490736104156,0.11509128529605854,0.6666666666666666,5979.60138960585
Algeria,Mortalidad_Media,0.29,0.057969394715405166,0.8576293010944986,0.10125740810908969,0.6666666666666666,6033.64884689543
Algeria,Mortalidad_Media,0.28,0.05404466342008524,0.854395879533586,0.0893175231004575,0.6666666666666666,5916.31364364343
Algeria,Mortalidad_Media,0.32,0.05297127198856992,0.8509764646970455,0.09498964404585387,0.6666666666666666,4912.78585503672
Algeria,Mortalidad_Media,0.3,0.05286119842135566,0.8470706059088631,0.10105802845999216,0.6666666666666666,4235.42990456612
Algeria,Mortalidad_Media,0.31,0.04923952113188119,0.8434508906216467,0.0699066857350392,0.3333333333333333,5180.91881514686
Algeria,Mortalidad_Media,0.28,0.04956130984097645,0.8395593390085128,0.07973082362882651,0.3333333333333333,4167.45169937531
Algeria,Mortalidad_Media,0.27,0.04747184672759855,0.8362686887474067,0.08023684437602675,0.3333333333333333,3660.66104745322
Algeria,Mortalidad_Media,0.26,0.044997703680059314,0.8322626797338863,0.08268277575306175,0.3333333333333333,3233.13339634212
Algeria,Mortalidad_Media,0.5,0.04383618793021221,0.8279705272194005,0.09740001018570627,0.3333333333333333,2816.99384960555
