country,categoria_expectativa_vida,government_integrity,energy_use_kg_of_oil_equivalent_per_capita,life_expectancy_at_birth_total_years,services_value_added_of_gdp,tiene_dato_gini,government_integrity infant_mortality_rate_per_1_000_live_births,ratio_auto_agriculture_value_added_of_gdp_div_government_integrity,ratio_auto_infant_mortality_rate_per_1_000_live_births_div_agriculture_value_added_of_gdp,gdp_per_capita_current_us$
Albania,Mortalidad_Baja,0.35600000000000004,0.0357815277821338,0.9171471492953716,0.4533778456379881,0.0,0.056068311195445926,0.07464711834270955,0.0031863314624691066,6846.42669381643
Albania,Mortalidad_Baja,0.406,0.03713980028233272,0.8896058373274196,0.4423678485439668,0.0,0.06317267552182164,0.06857076642187784,0.00281680247378511,6413.28280828537
Albania,Mortalidad_Baja,0.38799999999999996,0.034909912055976655,0.9036268688747406,0.44781268004062647,1.0,0.05963567362428842,0.07583659425231037,0.0024166253560743,5370.77749956875
Albania,Mortalidad_Baja,0.40399999999999997,0.0374725594748351,0.9271335574790756,0.444757411473645,1.0,0.06132827324478178,0.07033230038698651,0.0025468586311532698,5460.4305086932
Albania,Mortalidad_Baja,0.399,0.03774755033424578,0.9238572143930179,0.43271202989511004,1.0,0.05905502846299811,0.07025354294416288,0.0024785707671377464,5365.48880180298
Albania,Mortalidad_Baja,0.397,0.03780656199324813,0.9190213892266972,0.4345946063715129,1.0,0.058005692599620504,0.07125192746307749,0.002352844902273296,4614.0479692596
Albania,Mortalidad_Baja,0.33,0.03602899778633869,0.9153444452392874,0.42189277714085155,1.0,0.04759013282732448,0.09087728951082952,0.0019625453761855957,4168.37544462548
Albania,Mortalidad_Baja,0.31,0.034925260211861354,0.9112669003505258,0.4153898078249048,1.0,0.04470588235294117,0.09462036930549154,0.002080499621602364,3981.72662261867
Albania,Mortalidad_Baja,0.304,0.03718001547048307,0.9065598397596393,0.41287783209517037,1.0,0.044994307400379505,0.09901288946278215,0.0020812684042036474,4602.23051443229
Albania,Mortalidad_Baja,0.31,0.03684757146140003,0.9060733958079976,0.41254967628369316,0.0,0.047058823529411764,0.09551703761458732,0.0023106051860149047,4420.23461988353
Albania,Mortalidad_Baja,0.33,0.03156457319887963,0.9073467343872952,0.42255123250497034,1.0,0.0532258064516129,0.08340585291389956,0.003113438861351112,4222.3470988913
Albania,Mortalidad_Baja,0.32,0.03513904734442954,0.9104800057228699,0.40810539215732256,0.0,0.05464895635673624,0.08175285458973275,0.0038447425639792578,4465.70914328865
Albania,Mortalidad_Baja,0.34,0.03347570784337497,0.9120681021532298,0.397548583249997,0.0,0.06258064516129032,0.07527976832135246,0.004570879041390833,4149.14469936847
Albania,Mortalidad_Baja,0.29,0.03361513830821926,0.913427283782817,0.40542585992503505,0.0,0.05722960151802657,0.08243546188479157,0.005735346594974964,4213.65007574693
Albania,Mortalidad_Baja,0.26,0.03260482664416358,0.9096931110952142,0.39483301639806195,1.0,0.05476280834914611,0.09280706071261252,0.006254272360177322,4498.50486763601
Albania,Mortalidad_Baja,0.24,0.0311503960862338,0.9017240145933185,0.3887913226668112,0.0,0.05419354838709678,0.10126103065331418,0.0068701681206867135,3743.05529896187
Albania,Mortalidad_Baja,0.25,0.03240075601374469,0.8917519135846625,0.3848463721229273,0.0,0.06024667931688805,0.10039633027107578,0.007209535232819867,3057.77257038113
Albania,Mortalidad_Baja,0.25,0.03301273648503367,0.8836397453322842,0.38711471885317805,1.0,0.06404174573055028,0.10717518884860024,0.007164940688909995,2741.72136549578
Albania,Mortalidad_Baja,0.25,0.03280602061127119,0.8768295300092994,0.37755678819933597,0.0,0.0683111954459203,0.11617718994391388,0.006997634568158436,2446.90949947798
Albania,Mortalidad_Baja,0.1,0.029684336366705324,0.8711925030402747,0.37228492655060835,0.0,0.02903225806451613,0.30991538993693374,0.006953774706166923,1908.69900687608
Albania,Mortalidad_Baja,0.1,0.030230104334666476,0.8675012518778167,0.3924872178099646,1.0,0.030550284629981023,0.3092315874840792,0.00751389361468879,1479.83884572006
Albania,Mortalidad_Media,0.23,0.027311486800672177,0.8644109020673867,0.4076496637100223,0.0,0.07419354838709677,0.13913211821461763,0.007734062234368929,1326.41652388077
Albania,Mortalidad_Media,0.1,0.026529336930734206,0.8607339580799769,0.40670196980860046,0.0,0.03396584440227704,0.34701885642441643,0.0074136940145255945,1160.42047054038
Albania,Mortalidad_Media,0.1,0.01890254736894775,0.8492309893411547,0.38751091335059346,0.0,0.04212523719165085,0.5137836285951887,0.005674196600598886,911.320465445326
Algeria,Mortalidad_Baja,0.30100000000000005,0.06917747692603904,0.8793762071678948,0.4143326770474441,0.0,0.11423149905123339,0.05516832379829394,0.02171850868835442,4961.55257664733
Algeria,Mortalidad_Baja,0.327,0.06690805477367194,0.8661992989484226,0.479358751042696,0.0,0.12533965844402278,0.053759220409948495,0.020569131405685056,4160.55926736925
Algeria,Mortalidad_Media,0.28300000000000003,0.06322113710924301,0.8382860004292152,0.5285744569140584,0.0,0.10954838709677418,0.0709564977615101,0.01780243332347068,3743.5419522929
Algeria,Mortalidad_Baja,0.289,0.06746795924190445,0.8729808999213104,0.5020737473907184,0.0,0.11351612903225805,0.062147528056877885,0.020640582764033077,4468.45341883656
Algeria,Mortalidad_Baja,0.29,0.06648373826281992,0.8711638886901782,0.49005639589104477,0.0,0.11555977229601518,0.06066345178608524,0.021495996156598064,4577.21029180491
Algeria,Mortalidad_Baja,0.317,0.06360848213280006,0.8693897989841906,0.5105351805801823,0.0,0.12812333965844402,0.05445040868767891,0.02233349209597093,4554.66753957828
Algeria,Mortalidad_Baja,0.36,0.06318408785016713,0.8676586308033478,0.5238971828845688,0.0,0.14755218216318786,0.048104950671213544,0.02260898685357486,4424.98529027556
Algeria,Mortalidad_Media,0.36,0.06519334394581311,0.8654982473710566,0.5206632205983449,0.0,0.14960151802656546,0.04577746638371889,0.024304568756912497,4685.05902729002
Algeria,Mortalidad_Media,0.287,0.06257362038799201,0.8631089491379926,0.47269564790268803,0.0,0.12144402277039848,0.051284192626369116,0.02817274254032122,6094.69392314956
Algeria,Mortalidad_Media,0.29,0.05866019741526853,0.860490736104156,0.460036212520481,0.0,0.1249146110056926,0.049205226480668864,0.029745561981982138,5979.60138960585
Algeria,Mortalidad_Media,0.29,0.057969394715405166,0.8576293010944986,0.43857821266074015,0.0,0.1276660341555977,0.04330764546183497,0.03507299919112166,6033.64884689543
Algeria,Mortalidad_Media,0.28,0.05404466342008524,0.854395879533586,0.43561141585210683,1.0,0.1264516129032258,0.03958241131239568,0.04130877676107888,5916.31364364343
Algeria,Mortalidad_Media,0.32,0.05297127198856992,0.8509764646970455,0.42365133917555076,0.0,0.14815939278937382,0.036826019207328455,0.039711833250821484,4912.78585503672
Algeria,Mortalidad_Media,0.3,0.05286119842135566,0.8470706059088631,0.45255727445659144,0.0,0.1428842504743833,0.04178189214528342,0.03829743257750887,4235.42990456612
Algeria,Mortalidad_Media,0.31,0.04923952113188119,0.8434508906216467,0.3777124962415502,0.0,0.15235294117647058,0.028010614614819095,0.058661905531103044,5180.91881514686
Algeria,Mortalidad_Media,0.28,0.04956130984097645,0.8395593390085128,0.37931765283457314,0.0,0.14292220113851992,0.03534950087367005,0.0531571392215735,4167.45169937531
Algeria,Mortalidad_Media,0.27,0.04747184672759855,0.8362686887474067,0.3639844042133115,0.0,0.14294117647058824,0.03689044512713263,0.054888200561271125,3660.66104745322
Algeria,Mortalidad_Media,0.26,0.044997703680059314,0.8322626797338863,0.377140613230885,0.0,0.1430740037950664,0.03947235982750291,0.05540026722413436,3233.13339634212
Algeria,Mortalidad_Media,0.5,0.04383618793021221,0.8279705272194005,0.3976090309674585,0.0,0.2855787476280835,0.024164645090195294,0.04845144898082234,2816.99384960555
Algeria,Mortalidad_Media,0.5,0.04390812464361885,0.81895700693898,0.41678286481473537,0.0,0.2969639468690702,0.026463224555498637,0.04584021848940099,2283.77299346126
Algeria,Mortalidad_Media,0.5,0.041847216641084393,0.8152085270763287,0.4359905997532172,0.0,0.30740037950664134,0.02632649786805159,0.04783145449184831,1937.46411413019
Algeria,Mortalidad_Media,0.5,0.039622286556967666,0.8063523857214394,0.4281051213546797,0.0,0.3187855787476281,0.02780711450964265,0.04690179549675162,1896.30020878013
Algeria,Mortalidad_Media,0.5,0.0400937725709607,0.7999284641247584,0.30401821142265156,0.0,0.3292220113851993,0.026270240284725663,0.05157858037069647,1772.92869122761
Algeria,Mortalidad_Media,0.5,0.039074866027111535,0.7586522641104514,0.5246617679013033,1.0,0.3681214421252372,0.07102348578167407,0.01939570788786902,1466.94806760415
Angola,Mortalidad_Alta,0.20600000000000002,0.019185078359474986,0.7093640460691035,0.3959703072789764,0.0,0.15479316888045544,0.10434230964276377,0.03497082170631176,2929.69445467272
Angola,Mortalidad_Alta,0.204,0.01896401017019301,0.6909364046069102,0.39322199425553855,0.0,0.15832258064516128,0.08809728887024337,0.043975418338127896,1925.87466082167
Angola,Mortalidad_Alta,0.151,0.018002155150665833,0.6931969382645395,0.4326956547066775,0.0,0.12120113851992408,0.10306378371050223,0.05316316840627074,1449.92286669308
Angola,Mortalidad_Alta,0.20500000000000002,0.018900779020883822,0.692266971886401,0.40678486542780407,0.0,0.17037950664136622,0.06016277355338648,0.07047412689371986,2189.85571407618
Angola,Mortalidad_Alta,0.189,0.01835238045207022,0.6861291937906859,0.4191417332336987,1.0,0.16246110056925994,0.07125876110106459,0.06657295684904482,2538.59139143371
Angola,Mortalidad_Alta,0.128,0.02074299987482136,0.6789756062665426,0.4596856829114635,0.0,0.11415559772296016,0.12244424267956511,0.05899582342211672,2437.25971190821
Angola,Mortalidad_Alta,0.19,0.021032718159061218,0.6717790972172544,0.4621756491177833,0.0,0.17629981024667932,0.0809584891784047,0.0627393972692106,1807.95294072643
