country,categoria_expectativa_vida,tsne_dim1,tsne_dim2,umap_dim1,umap_dim2,gdp_per_capita_current_us$
Albania,Mortalidad_Baja,-28.134388,39.55715,-5.21156,12.443942,6846.42669381643
Albania,Mortalidad_Baja,-28.009365,39.515953,-5.1809444,12.391805,6413.28280828537
Albania,Mortalidad_Baja,-17.043407,-28.486383,11.533048,13.107293,5370.77749956875
Albania,Mortalidad_Baja,-17.214182,-28.321072,11.547783,13.099106,5460.4305086932
Albania,Mortalidad_Baja,-17.268827,-28.394573,11.576287,13.094645,5365.48880180298
Albania,Mortalidad_Baja,-17.24405,-28.413727,11.537968,13.094621,4614.0479692596
Albania,Mortalidad_Baja,-17.434814,-28.955914,11.544415,13.13431,4168.37544462548
Albania,Mortalidad_Baja,-17.49514,-29.198475,11.525822,13.145358,3981.72662261867
Albania,Mortalidad_Baja,-17.490473,-29.284735,11.557739,13.139538,4602.23051443229
Albania,Mortalidad_Baja,-28.690886,39.648014,-5.19671,12.445463,4420.23461988353
Albania,Mortalidad_Baja,-17.398224,-29.046537,11.550563,13.13474,4222.3470988913
Albania,Mortalidad_Baja,-28.64139,39.724274,-5.244279,12.448286,4465.70914328865
Albania,Mortalidad_Baja,-28.589973,39.752926,-5.2358255,12.4499035,4149.14469936847
Albania,Mortalidad_Baja,-28.881683,39.81619,-5.232906,12.474651,4213.65007574693
Albania,Mortalidad_Baja,-17.717773,-29.856728,11.559706,13.165898,4498.50486763601
Albania,Mortalidad_Baja,-29.341978,39.820503,-5.226191,12.492303,3743.05529896187
Albania,Mortalidad_Baja,-29.39237,39.792805,-5.233026,12.492052,3057.77257038113
Albania,Mortalidad_Baja,-17.645166,-30.130466,11.554896,13.228728,2741.72136549578
Albania,Mortalidad_Baja,-29.715345,39.689667,-5.231578,12.531106,2446.90949947798
Albania,Mortalidad_Baja,-50.032448,31.707224,-5.421535,13.782343,1908.69900687608
Albania,Mortalidad_Baja,-17.57995,-32.046814,11.587204,13.461322,1479.83884572006
Albania,Mortalidad_Media,-30.07461,39.56356,-5.1764927,12.582542,1326.41652388077
Albania,Mortalidad_Media,-50.08617,31.720987,-5.4114537,13.917924,1160.42047054038
Albania,Mortalidad_Media,-51.977604,25.608494,-5.337841,14.257271,911.320465445326
Algeria,Mortalidad_Baja,-21.116116,41.056725,-5.316512,10.690452,4961.55257664733
Algeria,Mortalidad_Baja,-18.481474,38.663452,-5.074994,10.332129,4160.55926736925
